,Date,Trigger_Type,Trigger_Onset_Time,Trial_Delay,Response_Time
0,2019-07-30 13:06:50,2,1.00579714775,1.548,0.449967861176
1,,1,2.58163905144,1.947,0.0
2,,1,4.56036615372,1.857,0.0
3,,2,6.44084119797,1.716,0.512104988098
4,,1,8.17935419083,1.559,0.0
5,,1,9.76181221008,1.66,0.0
6,,1,11.4430220127,1.799,0.0
7,,1,13.2621531487,1.801,0.0
8,,1,15.094037056,1.936,0.0
9,,1,17.0596580505,1.75,0.0
10,,2,18.8234841824,1.727,0.546364068985
11,,2,20.570333004,1.635,0.751590013504
12,,1,22.2372801304,1.72,0.0
13,,1,23.9731960297,1.575,0.0
14,,1,25.5678260326,1.976,0.0
15,,2,27.5796670914,1.856,0.599726915359
16,,1,29.4493460655,1.641,0.0
17,,1,31.1139621735,1.95,0.0
18,,1,33.1031651497,1.646,0.0
19,,1,34.768900156,1.712,0.0
20,,1,36.5052320957,1.935,0.0
21,,1,38.4676470757,1.609,0.0
22,,2,40.0920100212,1.759,0.399047136307
23,,1,41.8717110157,1.561,0.0
24,,2,43.4641230106,1.724,0.566559076309
25,,1,45.2066841125,1.826,0.0
26,,1,47.0500621796,1.828,0.0
27,,1,48.9008681774,1.791,0.0
28,,2,50.7237040997,1.517,0.410506010056
29,,2,52.2587881088,1.927,0.427011966705
30,,1,54.2100100517,1.928,0.0
31,,1,56.1602580547,1.772,0.0
32,,1,57.9550840855,1.616,0.0
33,,1,59.6087961197,1.496,0.0
34,,1,61.1392591,1.717,0.0
35,,1,62.8695101738,1.735,0.0
36,,2,64.6272141933,1.622,0.418979167938
37,,1,66.2755360603,1.595,0.0
38,,2,67.8964571953,1.983,0.389184951782
39,,1,69.9160339832,1.815,0.0
40,,1,71.7679719925,1.906,0.0
41,,1,73.7000420094,1.987,0.0
42,,1,75.7005782127,1.772,0.0
43,,2,77.5059161186,1.497,0.643040180206
44,,1,79.019641161,1.62,0.0
45,,1,80.659913063,1.77,0.0
46,,1,82.4519000053,1.532,0.0
47,,2,84.0249121189,1.639,0.369024038315
48,,1,85.681825161,1.738,0.0
49,,1,87.4492809772,1.933,0.0
50,,2,89.4166719913,1.712,0.330435037613
51,,1,91.1448230743,1.597,0.0
52,,1,92.7696521282,1.58,0.0
53,,2,94.373385191,1.692,0.634817838669
54,,2,96.0942921638,1.929,0.57421207428
55,,1,98.0522592068,1.887,0.0
56,,1,99.9603300095,1.835,0.0
57,,1,101.828570127,1.761,0.0
58,,1,103.614025116,1.533,0.0
59,,2,105.175541162,1.835,0.34682393074
60,,1,107.026952028,1.829,0.0
61,,1,108.882280111,1.516,0.0
62,,1,110.428260088,1.603,0.0
63,,1,112.054786205,1.974,0.0
64,,2,114.053339005,1.51,0.322739839554
65,,1,115.60238409,1.646,0.0
66,,1,117.269407034,1.512,0.0
67,,1,118.804811001,1.78,0.0
68,,1,120.60319519,1.857,0.0
69,,1,122.500218153,1.697,0.0
70,,2,124.220777035,1.631,0.488879919052
71,,1,125.893983126,1.532,0.0
72,,1,127.444434166,1.543,0.0
73,,1,129.012813091,1.612,0.0
74,,1,130.655606031,1.876,0.0
75,,1,132.555538177,1.692,0.0
76,,1,134.270759106,1.514,0.0
77,,1,135.806155205,1.82,0.0
78,,1,137.6469841,1.494,0.0
79,,1,139.162955046,1.758,0.0
80,,1,140.950869083,1.952,0.0
81,,1,142.935948133,1.502,0.0
82,,1,144.455448151,1.576,0.0
83,,1,146.058783054,1.859,0.0
84,,1,147.941901207,1.785,0.0
85,,1,149.758419037,1.635,0.0
86,,1,151.419605017,1.867,0.0
87,,1,153.311861038,1.959,0.0
88,,2,155.292190075,1.827,0.400124073029
89,,1,157.160042048,1.491,0.0
90,,1,158.672067165,1.823,0.0
91,,1,160.520008087,1.743,0.0
92,,2,162.286172152,1.749,0.49754691124
93,,1,164.07200098,1.498,0.0
