,Date,Trigger_Type,Trigger_Onset_Time,Trial_Delay,Response_Time
0,2019-07-30 12:30:24,1,1.00494408607,1.581,0.0
1,,1,2.6127550602,1.497,0.0
2,,1,4.13025093079,1.786,0.0
3,,2,5.96096301079,1.922,0.332722187042
4,,1,7.9054620266,1.779,0.0
5,,1,9.71270895004,1.828,0.0
6,,1,11.5710680485,1.547,0.0
7,,1,13.1506659985,1.866,0.0
8,,2,15.0497410297,1.869,0.454893827438
9,,1,16.931992054,1.54,0.0
10,,1,18.5030879974,1.867,0.0
11,,1,20.3902139664,1.933,0.0
12,,2,22.3563690186,1.903,0.523797988892
13,,1,24.2763490677,1.638,0.0
14,,1,25.941215992,1.827,0.0
15,,1,27.8008439541,1.603,0.0
16,,2,29.4256989956,1.986,0.560096025467
17,,1,31.438931942,1.981,0.0
18,,2,33.4336271286,1.707,0.0
19,,1,35.1602420807,1.927,0.0
20,,1,37.1078760624,1.803,0.0
21,,1,38.9251520634,1.948,0.0
22,,1,40.9011061192,1.623,0.0
23,,1,42.5463039875,1.627,0.0
24,,1,44.1997890472,1.575,0.0
25,,1,45.7979490757,1.756,0.0
26,,1,47.5794711113,1.834,0.0
27,,1,49.4278321266,1.53,0.0
28,,1,50.9831409454,1.878,0.0
29,,1,52.8817899227,1.959,0.0
30,,1,54.8712649345,1.841,0.0
31,,1,56.7441220284,1.513,0.0
32,,1,58.2756950855,1.523,0.0
33,,1,59.8161890507,1.783,0.0
34,,1,61.6161839962,1.516,0.0
35,,1,63.1592040062,1.816,0.0
36,,1,64.9898579121,1.882,0.0
37,,1,66.885890007,1.652,0.0
38,,2,68.5657839775,1.853,0.739596128464
39,,1,70.4356501102,1.931,0.0
40,,2,72.3946940899,1.905,1.64217400551
41,,1,74.3172879219,1.626,0.0
42,,1,75.9689640999,1.685,0.0
43,,1,77.6783339977,1.691,0.0
44,,1,79.3936829567,1.879,0.0
45,,1,81.3021659851,1.961,0.0
46,,2,83.2930231094,1.558,0.459328889847
47,,1,84.8812100887,1.727,0.0
48,,1,86.629224062,1.743,0.0
49,,1,88.3961389065,1.907,0.0
50,,1,90.322879076,1.832,0.0
51,,1,92.1753220558,1.777,0.0
52,,1,93.9697790146,1.69,0.0
53,,2,95.6852469444,1.702,0.544966936111
54,,1,97.4091370106,1.574,0.0
55,,1,98.9971220493,1.673,0.0
56,,1,100.696712017,1.644,0.0
57,,1,102.367026091,1.914,0.0
58,,2,104.307444096,1.899,0.693050861359
59,,1,106.241910934,1.605,0.0
60,,1,107.877377033,1.648,0.0
61,,1,109.550091028,1.654,0.0
