,Date,Trigger_Type,Trigger_Onset_Time,Trial_Delay,Response_Time
0,2019-06-04 15:27:32,1,1.00582194328,1.819,0.0
1,,1,2.84620094299,1.679,0.0
2,,1,4.56576085091,1.954,0.0
3,,1,6.56080389023,1.675,0.0
4,,1,8.25224685669,1.852,0.0
5,,2,10.1189420223,1.497,0.460227012634
6,,1,11.6435480118,1.514,0.0
7,,1,13.2012109756,1.719,0.0
8,,1,14.9356789589,1.55,0.0
9,,1,16.5072159767,1.692,0.0
10,,1,18.2288339138,1.825,0.0
11,,1,20.0817790031,1.841,0.0
12,,1,21.9582788944,1.673,0.0
13,,1,23.6698148251,1.896,0.0
14,,1,25.5828459263,1.587,0.0
15,,2,27.1839008331,1.638,0.389250993729
16,,1,28.8549559116,1.753,0.0
17,,2,30.6403410435,1.92,0.468641042709
18,,1,32.5771360397,1.642,0.0
19,,1,34.2492349148,1.73,0.0
20,,1,36.0075240135,1.835,0.0
21,,1,37.8817248344,1.71,0.0
22,,2,39.6065118313,1.944,0.446605920792
23,,1,41.5804028511,1.822,0.0
24,,1,43.4391849041,1.626,0.0
25,,1,45.1026778221,1.801,0.0
26,,1,46.9183828831,1.521,0.0
27,,1,48.4578020573,1.758,0.0
28,,1,50.2444469929,1.762,0.0
29,,2,52.0387029648,1.808,0.445109128952
30,,1,53.8751749992,1.575,0.0
31,,1,55.471832037,1.728,0.0
32,,2,57.2249009609,1.74,0.0
33,,1,59.0074329376,1.789,0.0
34,,1,60.8155348301,1.687,0.0
35,,2,62.5237050056,1.607,0.533773899078
36,,2,64.1630759239,1.502,0.722232103348
37,,1,65.6881608963,1.95,0.0
38,,1,67.6674919128,1.972,0.0
39,,1,69.6595499516,1.874,0.0
40,,1,71.5609560013,1.85,0.0
41,,1,73.4369130135,1.503,0.0
42,,2,74.979667902,1.692,0.421860933304
43,,1,76.6990330219,1.532,0.0
44,,2,78.2585339546,1.512,0.574555873871
45,,2,79.787899971,1.769,0.0
46,,1,81.5759530067,1.926,0.0
47,,1,83.5226209164,1.611,0.0
48,,1,85.1580469608,1.733,0.0
49,,2,86.909555912,1.667,0.32720208168
50,,1,88.6033370495,1.855,0.0
51,,1,90.4918270111,1.814,0.0
52,,1,92.3313310146,1.674,0.0
53,,1,94.0206489563,1.639,0.0
54,,1,95.6858429909,1.646,0.0
55,,1,97.3623578548,1.768,0.0
56,,2,99.1553850174,1.538,0.324037075043
57,,1,100.715004921,1.97,0.0
58,,1,102.707604885,1.507,0.0
59,,1,104.23366785,1.606,0.0
60,,2,105.873200893,1.774,0.387475013733
61,,1,107.661011934,1.793,0.0
62,,1,109.469851017,1.649,0.0
63,,2,111.135438919,1.898,0.311544179916
64,,1,113.055107832,1.558,0.0
65,,1,114.644531012,1.978,0.0
66,,1,116.645153999,1.823,0.0
