,Date,Trigger_Type,Trigger_Onset_Time,Trial_Delay,Response_Time
0,2019-06-04 15:38:16,2,1.00614285469,1.913,0.0
1,,2,2.95805096626,1.881,0.381992101669
2,,1,4.87729382515,1.59,0.0
3,,1,6.48339390755,1.5,0.0
4,,1,8.01468300819,1.908,0.0
5,,1,9.96283078194,1.566,0.0
6,,1,11.5703058243,1.5,0.0
7,,1,13.0846238136,1.902,0.0
8,,1,15.0168719292,1.977,0.0
9,,1,17.0211977959,1.545,0.0
10,,1,18.6095638275,1.598,0.0
11,,1,20.2419118881,1.614,0.0
12,,1,21.8762619495,1.76,0.0
13,,1,23.6549048424,1.909,0.0
14,,1,25.5831158161,1.919,0.0
15,,1,27.5232379436,1.977,0.0
16,,1,29.5304358006,1.819,0.0
17,,1,31.3738839626,1.969,0.0
18,,1,33.3836479187,1.581,0.0
19,,1,34.9855189323,1.901,0.0
20,,1,36.9150409698,1.787,0.0
21,,1,38.7211399078,1.506,0.0
22,,1,40.2504508495,1.672,0.0
23,,2,41.9565219879,1.856,0.729209899902
24,,1,43.8298668861,1.827,0.0
25,,2,45.6820089817,1.878,0.385438203812
26,,2,47.5923879147,1.984,0.3976790905
27,,1,49.5987119675,1.655,0.0
28,,1,51.2690308094,1.624,0.0
29,,1,52.9078569412,1.645,0.0
30,,2,54.5795660019,1.942,0.322331905365
31,,1,56.5452728271,1.537,0.0
32,,1,58.1212859154,1.724,0.0
33,,1,59.8881797791,1.877,0.0
34,,1,61.7819459438,1.699,0.0
35,,1,63.5031588078,1.592,0.0
36,,2,65.1160678864,1.615,0.330667972565
37,,1,66.7694878578,1.553,0.0
38,,1,68.3459978104,1.813,0.0
39,,1,70.1870238781,1.757,0.0
40,,1,71.9717028141,1.585,0.0
41,,1,73.5893468857,1.607,0.0
42,,1,75.2109789848,1.95,0.0
43,,1,77.1735029221,1.953,0.0
44,,1,79.1572158337,1.674,0.0
45,,2,80.847317934,1.824,0.388876914978
46,,1,82.6982989311,1.682,0.0
47,,1,84.4060308933,1.566,0.0
48,,1,85.9897758961,1.978,0.0
49,,1,87.9826238155,1.574,0.0
50,,1,89.5970728397,1.576,0.0
51,,1,91.2003529072,1.736,0.0
52,,1,92.9598059654,1.686,0.0
53,,1,94.6804938316,1.719,0.0
54,,1,96.4233658314,1.711,0.0
55,,1,98.165697813,1.773,0.0
56,,1,99.9676728249,1.577,0.0
57,,1,101.560775995,1.78,0.0
58,,1,103.364046812,1.781,0.0
59,,1,105.175083876,1.925,0.0
60,,1,107.129401922,1.516,0.0
61,,1,108.670339823,1.959,0.0
62,,2,110.643682957,1.816,0.541790008545
63,,1,112.47981286,1.822,0.0
64,,2,114.316212893,1.868,0.329954147339
65,,2,116.20268178,1.83,0.370082855225
66,,1,118.064511776,1.794,0.0
67,,1,119.888632774,1.782,0.0
68,,1,121.686617851,1.655,0.0
69,,1,123.368682861,1.721,0.0
70,,2,125.105360985,1.968,0.371484041214
71,,2,127.091813803,1.84,0.346344947815
72,,1,128.963704824,1.844,0.0
73,,1,130.827055931,1.527,0.0
74,,1,132.390540838,1.498,0.0
75,,1,133.912280798,1.592,0.0
76,,1,135.545940876,1.688,0.0
77,,1,137.26215291,1.671,0.0
78,,1,138.965474844,1.837,0.0
79,,2,140.820966005,1.492,0.438731908798
80,,1,142.335362911,1.608,0.0
81,,1,143.961732864,1.516,0.0
82,,2,145.500365973,1.771,0.481418848038
83,,2,147.303841829,1.493,0.530802965164
84,,1,148.816283941,1.643,0.0
85,,1,150.476795912,1.582,0.0
86,,1,152.086409807,1.912,0.0
87,,1,154.016291857,1.573,0.0
88,,1,155.607461929,1.563,0.0
89,,2,157.197476864,1.947,0.290019035339
90,,1,159.160963774,1.787,0.0
91,,2,160.981676817,1.773,0.321981906891
92,,1,162.777309895,1.899,0.0
93,,1,164.692911863,1.766,0.0
94,,2,166.480698824,1.933,0.347188949585
95,,1,168.437055826,1.858,0.0
96,,1,170.312111855,1.942,0.0
97,,1,172.27597785,1.772,0.0
98,,1,174.085974932,1.671,0.0
99,,1,175.795288801,1.54,0.0
100,,2,177.353598833,1.883,0.387799978256
101,,2,179.256759882,1.659,0.319937944412
102,,1,180.933383942,1.85,0.0
103,,1,182.823887825,1.65,0.0
104,,1,184.504307985,1.499,0.0
105,,1,186.023324966,1.725,0.0
106,,1,187.778990984,1.851,0.0
107,,1,189.645476818,1.793,0.0
108,,1,191.466784,1.707,0.0
109,,2,193.191602945,1.647,0.284564971924
110,,1,194.881382942,1.494,0.0
111,,1,196.397369862,1.83,0.0
112,,1,198.244493961,1.989,0.0
113,,1,200.261851788,1.977,0.0
114,,1,202.270785809,1.518,0.0
115,,1,203.831867933,1.688,0.0
116,,1,205.551755905,1.649,0.0
117,,1,207.2309618,1.844,0.0
118,,1,209.097441912,1.833,0.0
119,,1,210.947633982,1.889,0.0
120,,1,212.863405943,1.53,0.0
121,,2,214.423815012,1.589,0.404821872711
122,,1,216.042447805,1.5,0.0
123,,1,217.583873987,1.683,0.0
124,,2,219.297431946,1.857,0.553884983063
125,,2,221.191089869,1.74,0.340508937836
126,,2,222.954008818,1.847,0.274169921875
127,,1,224.820811987,1.496,0.0
128,,1,226.349784851,1.91,0.0
129,,1,228.2746768,1.883,0.0
130,,2,230.177352905,1.729,0.304619073868
131,,1,231.922841787,1.957,0.0
132,,1,233.920727968,1.634,0.0
133,,1,235.586827993,1.824,0.0
134,,1,237.427768946,1.691,0.0
135,,1,239.134948969,1.938,0.0
136,,1,241.101805925,1.514,0.0
137,,1,242.648232937,1.596,0.0
138,,1,244.260259867,1.525,0.0
139,,1,245.81840682,1.973,0.0
140,,1,247.815462828,1.965,0.0
141,,1,249.806945801,1.592,0.0
142,,1,251.436404943,1.592,0.0
143,,1,253.055599928,1.707,0.0
144,,1,254.80152297,1.64,0.0
145,,1,256.47339201,1.543,0.0
146,,1,258.046289921,1.564,0.0
147,,1,259.627340794,1.677,0.0
148,,1,261.321046829,1.755,0.0
149,,1,263.10853982,1.558,0.0
150,,1,264.682101011,1.769,0.0
151,,2,266.472567797,1.76,0.591151952744
152,,1,268.253194809,1.937,0.0
153,,1,270.210677862,1.985,0.0
154,,1,272.237942934,1.833,0.0
155,,1,274.106762886,1.894,0.0
156,,1,276.018063784,1.688,0.0
157,,1,277.72209692,1.741,0.0
158,,2,279.495060921,1.858,0.317439079285
159,,1,281.371672869,1.864,0.0
160,,1,283.25661087,1.611,0.0
161,,1,284.884317875,1.779,0.0
162,,1,286.682514906,1.688,0.0
163,,1,288.401805878,1.718,0.0
164,,2,290.151891947,1.831,0.346904039383
165,,2,292.004480839,1.775,0.367707014084
166,,1,293.808609009,1.848,0.0
167,,1,295.670347929,1.633,0.0
168,,2,297.337324858,1.767,0.666615962982
169,,1,299.140042782,1.965,0.0
170,,1,301.129094839,1.643,0.0
171,,1,302.797012806,1.952,0.0
172,,1,304.775628805,1.619,0.0
173,,2,306.422477961,1.752,0.372223854065
174,,2,308.205984831,1.724,0.394232988358
175,,2,309.95724082,1.983,0.249167919159
176,,2,311.967614889,1.642,0.296359062195
177,,2,313.645980835,1.865,0.277743816376
178,,1,315.53864193,1.855,0.0
179,,2,317.40907383,1.545,0.32980298996
180,,2,318.978390932,1.521,0.301807880402
181,,1,320.514866829,1.734,0.0
182,,1,322.277757883,1.841,0.0
183,,2,324.155105829,1.894,0.502771139145
184,,1,326.087888002,1.821,0.0
185,,2,327.934558868,1.547,0.294641017914
186,,2,329.500654936,1.822,0.267719984055
187,,1,331.356319904,1.6,0.286201000214
188,,1,332.993192911,1.713,0.0
189,,1,334.726939917,1.918,0.0
190,,1,336.671717882,1.819,0.0
191,,1,338.522442818,1.759,0.0
192,,1,340.303351879,1.663,0.0
193,,1,341.98691678,1.573,0.0
194,,1,343.576893806,1.697,0.0
195,,1,345.300503969,1.822,0.0
196,,1,347.14641881,1.581,0.0
197,,1,348.754247904,1.983,0.0
198,,1,350.766461849,1.948,0.0
199,,1,352.751906872,1.72,0.0
200,,1,354.493658781,1.981,0.0
201,,2,356.49454999,1.674,0.635511159897
202,,1,358.187159777,1.891,0.0
203,,1,360.093555927,1.665,0.0
204,,2,361.77687192,1.821,0.448513031006
205,,1,363.624511957,1.877,0.0
