,Date,Trigger_Type,Trigger_Onset_Time,Trial_Delay,Response_Time
0,2019-07-30 12:55:10,1,1.00551509857,1.86,0.0
1,,1,2.89219093323,1.895,0.0
2,,1,4.81816697121,1.872,0.0
3,,1,6.71495509148,1.754,0.0
4,,1,8.50722408295,1.574,0.0
5,,1,10.1068480015,1.797,0.0
6,,1,11.9397730827,1.839,0.0
7,,1,13.7988390923,1.567,0.0
8,,1,15.3779881001,1.768,0.0
9,,1,17.1805860996,1.596,0.0
10,,1,18.7988340855,1.583,0.0
11,,1,20.4055769444,1.891,0.0
12,,2,22.3148460388,1.921,0.346638202667
13,,2,24.2545039654,1.683,0.507682800293
14,,1,25.9658429623,1.77,0.0
15,,1,27.7733719349,1.95,0.0
16,,2,29.7629029751,1.648,0.321062088013
17,,1,31.4302339554,1.612,0.0
18,,1,33.0648589134,1.571,0.0
19,,1,34.6543869972,1.85,0.0
20,,2,36.5327501297,1.893,0.373076915741
21,,1,38.4545209408,1.99,0.0
22,,1,40.4833431244,1.651,0.0
23,,1,42.1634719372,1.725,0.0
24,,1,43.9083199501,1.878,0.0
25,,2,45.8012640476,1.876,0.355222940445
26,,1,47.7089800835,1.68,0.0
27,,2,49.4134480953,1.662,0.387705087662
28,,1,51.114823103,1.827,0.0
29,,1,52.9697921276,1.652,0.0
30,,1,54.6545619965,1.802,0.0
31,,1,56.4746611118,1.951,0.0
32,,2,58.4636690617,1.798,0.710285902023
33,,1,60.2797811031,1.697,0.0
34,,1,61.9989581108,1.773,0.0
35,,2,63.7855129242,1.737,0.608512163162
36,,2,65.5484189987,1.644,0.540791034698
37,,1,67.2053859234,1.815,0.0
38,,2,69.0461521149,1.774,0.53083896637
39,,1,70.8462331295,1.606,0.0
40,,1,72.4693100452,1.803,0.0
41,,1,74.2845411301,1.983,0.0
42,,1,76.3057861328,1.984,0.0
43,,1,78.326761961,1.947,0.0
44,,1,80.3101921082,1.746,0.0
45,,1,82.0785119534,1.779,0.0
46,,1,83.8812770844,1.937,0.0
47,,1,85.8497679234,1.815,0.0
48,,1,87.6783239841,1.527,0.0
49,,1,89.2195689678,1.822,0.0
50,,1,91.0745539665,1.756,0.0
51,,1,92.8576629162,1.6,0.0
52,,1,94.4724600315,1.555,0.0
53,,2,96.0478920937,1.818,0.532560825348
54,,1,97.8902060986,1.874,0.0
55,,1,99.7875590324,1.729,0.0
56,,2,101.542279959,1.641,0.370274066925
57,,1,103.224072933,1.901,0.0
58,,1,105.154417992,1.985,0.0
59,,1,107.165785074,1.501,0.0
60,,1,108.704333067,1.84,0.0
61,,1,110.572958946,1.713,0.0
62,,1,112.305450916,1.955,0.0
63,,1,114.287220955,1.645,0.0
64,,1,115.956314087,1.526,0.0
65,,1,117.498929977,1.525,0.0
66,,1,119.036328077,1.686,0.0
67,,1,120.749428988,1.949,0.0
68,,1,122.712623119,1.614,0.0
69,,2,124.344486952,1.72,0.463584184647
70,,1,126.082983971,1.553,0.0
71,,1,127.654917002,1.94,0.0
72,,1,129.623094082,1.589,0.0
73,,1,131.241920948,1.699,0.0
74,,2,132.982285976,1.583,0.523932933807
75,,1,134.605180979,1.621,0.0
76,,1,136.244092941,1.885,0.0
77,,1,138.157684088,1.751,0.0
78,,1,139.924117088,1.799,0.0
79,,2,141.741874933,1.903,0.401108980179
80,,1,143.676028967,1.627,0.0
81,,2,145.329466105,1.635,0.927361965179
82,,1,146.989481926,1.678,0.0
83,,1,148.700393915,1.888,0.0
84,,2,150.629611015,1.908,0.526871919632
85,,1,152.570406914,1.666,0.0
86,,1,154.257493973,1.696,0.0
87,,1,155.989036083,1.789,0.0
88,,1,157.822299004,1.721,0.0
89,,1,159.563439131,1.513,0.0
90,,2,161.099748135,1.799,0.551572084427
91,,1,162.921843052,1.837,0.0
92,,1,164.790487051,1.895,0.0
93,,1,166.728039026,1.528,0.0
94,,1,168.290328979,1.541,0.0
95,,1,169.85580802,1.777,0.0
96,,2,171.654500008,1.602,0.35156917572
97,,1,173.284717083,1.537,0.0
98,,1,174.839803934,1.649,0.0
99,,1,176.511337042,1.693,0.0
100,,1,178.224050045,1.557,0.0
101,,1,179.810066938,1.519,0.0
102,,1,181.351136923,1.733,0.0
103,,1,183.115853071,1.512,0.0
104,,1,184.644791126,1.987,0.0
105,,1,186.650512934,1.56,0.0
106,,2,188.240989923,1.914,0.392082929611
107,,1,190.175702095,1.989,0.0
108,,1,192.200643063,1.794,0.0
109,,2,194.026534081,1.498,0.378338098526
110,,2,195.540727139,1.802,0.541996955872
111,,1,197.374802113,1.8,0.0
112,,1,199.212398052,1.93,0.0
113,,1,201.172928095,1.675,0.0
114,,1,202.865988016,1.754,0.0
115,,2,204.646306038,1.555,0.506906032562
116,,1,206.227018118,1.68,0.0
117,,1,207.93298912,1.868,0.0
118,,1,209.819739103,1.961,0.0
119,,1,211.814074039,1.557,0.0
120,,1,213.40981698,1.572,0.0
121,,2,215.004095078,1.57,0.462910175323
122,,1,216.602792025,1.817,0.0
123,,1,218.450109959,1.635,0.0
124,,2,220.10790801,1.613,0.480451107025
125,,1,221.755006075,1.581,0.0
126,,1,223.376214981,1.706,0.0
127,,1,225.099282026,1.885,0.0
128,,1,227.017509937,1.645,0.0
129,,1,228.678044081,1.663,0.0
130,,1,230.375896931,1.837,0.0
131,,1,232.239334106,1.975,0.0
132,,1,234.237684011,1.941,0.0
133,,1,236.203781128,1.716,0.0
134,,1,237.948750973,1.613,0.0
135,,1,239.585086107,1.78,0.0
136,,1,241.38271594,1.945,0.0
137,,1,243.357733011,1.493,0.0
138,,1,244.874480963,1.956,0.0
139,,1,246.848863125,1.613,0.0
140,,1,248.475153923,1.545,0.0
141,,1,250.037385941,1.626,0.0
142,,1,251.69897294,1.806,0.0
143,,1,253.528636932,1.566,0.0
144,,1,255.118876934,1.528,0.0
145,,2,256.661025047,1.791,0.647821187973
146,,1,258.482738018,1.597,0.0
147,,1,260.099700928,1.895,0.0
148,,1,262.017364025,1.535,0.0
149,,1,263.567520142,1.929,0.0
150,,2,265.511707067,1.637,0.521770000458
151,,1,267.169011116,1.491,0.0
152,,1,268.672459126,1.809,0.0
153,,1,270.501240015,1.778,0.0
154,,1,272.300243139,1.7,0.0
155,,2,274.042191029,1.978,0.427394151688
156,,1,276.060920954,1.559,0.0
157,,1,277.661728144,1.594,0.0
158,,1,279.277053118,1.886,0.0
159,,2,281.187595129,1.72,0.486684083939
160,,1,282.93165803,1.912,0.0
161,,1,284.865340948,1.861,0.0
162,,1,286.763519049,1.901,0.0
163,,1,288.687487125,1.931,0.0
164,,1,290.643261909,1.847,0.0
165,,2,292.510837078,1.904,0.497004985809
166,,1,294.445560932,1.89,0.0
167,,1,296.357357025,1.531,0.0
168,,1,297.910427094,1.82,0.0
169,,1,299.772582054,1.53,0.0
170,,1,301.341637135,1.756,0.0
171,,1,303.122251034,1.52,0.0
172,,1,304.672656059,1.95,0.0
173,,1,306.652939081,1.568,0.0
174,,2,308.250838995,1.627,0.563301086426
175,,2,309.90933013,1.692,0.319188117981
176,,1,311.623630047,1.493,0.0
177,,1,313.14470911,1.541,0.0
178,,1,314.702515125,1.64,0.0
179,,1,316.382085085,1.531,0.0
180,,1,317.943773031,1.72,0.0
181,,2,319.686537981,1.497,0.342499017715
182,,1,321.204882145,1.529,0.0
183,,2,322.771031141,1.592,0.376353025436
184,,1,324.386351109,1.61,0.0
185,,1,326.018476963,1.726,0.0
186,,1,327.767554045,1.86,0.0
187,,1,329.651514053,1.875,0.0
188,,1,331.549299002,1.713,0.0
189,,2,333.284841061,1.638,0.488576173782
190,,2,334.950107098,1.979,0.557047128677
191,,1,336.960623026,1.94,0.0
192,,1,338.922122955,1.938,0.0
193,,2,340.890605927,1.519,0.415126800537
194,,1,342.450927973,1.91,0.0
195,,1,344.391999006,1.659,0.0
196,,1,346.075253963,1.506,0.0
197,,1,347.618093967,1.838,0.0
198,,1,349.479891062,1.62,0.0
199,,2,351.124395132,1.507,0.738564968109
200,,2,352.652601004,1.881,0.856773138046
201,,2,354.563122988,1.843,0.624646186829
202,,1,356.424785137,1.49,0.0
203,,1,357.932340145,1.576,0.0
204,,1,359.52888298,1.608,0.0
205,,1,361.160187006,1.91,0.0
206,,2,363.091722012,1.672,0.709609985352
207,,1,364.803040028,1.959,0.0
208,,1,366.781060934,1.754,0.0
209,,1,368.575747013,1.962,0.0
210,,1,370.574362993,1.922,0.0
211,,2,372.522787094,1.609,1.13917613029
212,,1,374.16099596,1.975,0.0
213,,1,376.158117056,1.899,0.0
214,,2,378.081921101,1.639,0.51496386528
215,,1,379.740867138,1.527,0.0
216,,1,381.298849106,1.912,0.0
217,,2,383.24409914,1.52,0.628968000412
218,,1,384.781891108,1.877,0.0
219,,1,386.689945936,1.948,0.0
220,,1,388.67027998,1.958,0.0
221,,2,390.649115086,1.692,0.378859043121
222,,1,392.383852959,1.987,0.0
223,,2,394.39923501,1.687,0.638262987137
224,,1,396.119807959,1.933,0.0
225,,1,398.075166941,1.983,0.0
226,,2,400.085333109,1.856,0.477383136749
227,,1,401.978771925,1.513,0.0
228,,1,403.515206099,1.74,0.0
229,,1,405.271533012,1.806,0.0
230,,2,407.107676029,1.839,0.534821033478
231,,1,408.972182035,1.723,0.855881214142
232,,1,410.71527195,1.85,0.0
233,,1,412.587012053,1.564,0.0
234,,1,414.175529957,1.855,0.0
235,,2,416.047806025,1.691,0.56397819519
236,,2,417.76238513,1.74,0.401669025421
237,,1,419.531981945,1.644,0.0
238,,1,421.19640708,1.807,0.0
239,,1,423.029714108,1.61,0.0
240,,1,424.670205116,1.523,0.0
241,,1,426.235213995,1.969,0.0
242,,1,428.231431007,1.522,0.0
243,,1,429.784043074,1.662,0.0
244,,1,431.474615097,1.864,0.0
245,,1,433.353938103,1.616,1.50428104401
246,,1,434.986468077,1.96,0.0
247,,1,436.983518124,1.506,0.0
248,,1,438.516499996,1.918,0.0
249,,1,440.460817099,1.986,0.0
