,Date,Trigger_Type,Trigger_Onset_Time,Trial_Delay,Response_Time
0,2019-07-30 12:20:50,1,1.00572013855,1.902,0.584891080856
1,,2,2.9365260601,1.568,0.6460750103
2,,1,4.53060317039,1.754,0.0
3,,1,6.31699204445,1.632,0.0
4,,1,7.96466302872,1.902,0.0
5,,1,9.88516306877,1.671,0.0
6,,2,11.5741410255,1.746,0.35502910614
7,,1,13.3489100933,1.602,0.0
8,,1,14.9735291004,1.696,0.0
9,,1,16.691049099,1.515,0.0
10,,1,18.2278831005,1.666,0.0
11,,2,19.916862011,1.612,0.522282123566
12,,1,21.5518431664,1.511,0.0
13,,1,23.0947041512,1.966,0.0
14,,1,25.0862140656,1.83,0.0
15,,2,26.9433500767,1.817,0.496734857559
16,,1,28.7907211781,1.902,0.0
17,,1,30.735407114,1.781,0.0
18,,1,32.5327630043,1.895,0.0
19,,2,34.468599081,1.823,0.342919111252
20,,2,36.3162391186,1.853,0.384368896484
21,,1,38.1856071949,1.613,0.0
22,,2,39.8261671066,1.496,0.377088069916
23,,1,41.3591811657,1.559,0.0
24,,1,42.9323680401,1.789,0.0
25,,1,44.7627739906,1.986,0.0
26,,1,46.7685251236,1.789,0.0
27,,1,48.5729110241,1.57,0.0
28,,1,50.1635811329,1.798,0.0
29,,1,51.9916880131,1.647,0.0
30,,1,53.669424057,1.689,0.0
31,,2,55.3927571774,1.934,0.549970149994
32,,1,57.3473050594,1.899,0.0
33,,2,59.2627441883,1.589,0.349517822266
34,,1,60.8813340664,1.598,0.0
35,,1,62.5217571259,1.713,0.0
36,,1,64.2564439774,1.739,0.0
37,,1,66.0211501122,1.922,0.0
38,,1,67.9749741554,1.749,0.0
39,,2,69.752767086,1.6,0.494656085968
40,,1,71.3927931786,1.848,0.0
41,,1,73.2603781223,1.587,0.0
42,,1,74.8806920052,1.903,0.0
43,,1,76.8066501617,1.687,0.0
44,,1,78.5100979805,1.955,0.0
45,,1,80.4966850281,1.974,0.0
46,,1,82.4861299992,1.904,0.0
47,,1,84.4178841114,1.988,0.0
48,,2,86.4311351776,1.507,0.572046995163
49,,2,87.9701080322,1.787,0.653182983398
50,,2,89.7799460888,1.918,0.816205978394
51,,1,91.7207741737,1.526,0.0
52,,1,93.2779061794,1.492,0.0
53,,1,94.7941021919,1.576,0.0
54,,1,96.3997371197,1.699,0.0
55,,1,98.1219329834,1.633,0.0
56,,1,99.7757871151,1.714,0.0
57,,1,101.507224083,1.831,0.0
58,,1,103.364211082,1.88,0.0
59,,1,105.271459103,1.573,0.0
60,,1,106.864964008,1.836,0.0
61,,1,108.728991985,1.579,0.0
62,,1,110.331116199,1.509,0.0
63,,1,111.861505032,1.765,0.0
64,,2,113.648236036,1.871,0.295782089233
65,,2,115.5445261,1.882,0.377278089523
66,,1,117.464981079,1.572,0.0
67,,1,119.054962158,1.824,0.0
68,,1,120.907875061,1.805,0.0
69,,1,122.72744298,1.806,0.0
70,,1,124.558987141,1.841,0.0
71,,2,126.434115171,1.966,0.682478904724
72,,1,128.438780069,1.964,0.0
73,,1,130.42595911,1.895,0.0
74,,1,132.338162184,1.907,0.0
75,,2,134.270068169,1.584,0.491398096085
76,,1,135.876585007,1.913,0.0
77,,1,137.80675602,1.526,0.0
78,,1,139.34879303,1.567,0.0
79,,1,140.950540066,1.889,0.0
80,,1,142.872935057,1.905,0.0
81,,1,144.816982031,1.668,0.0
82,,1,146.501053095,1.742,0.0
83,,1,148.27495718,1.54,0.0
84,,1,149.833343029,1.508,0.0
85,,1,151.361117125,1.758,0.0
86,,1,153.141390085,1.876,0.0
87,,1,155.048751116,1.658,0.0
88,,1,156.730633974,1.766,0.0
89,,1,158.519131184,1.504,0.0
90,,1,160.037060976,1.925,0.0
91,,1,161.998759985,1.831,0.0
92,,2,163.854797125,1.607,0.397057056427
93,,1,165.48024416,1.599,0.0
94,,1,167.100869179,1.972,0.0
95,,2,169.094285011,1.68,0.800562143326
96,,2,170.802663088,1.653,0.372870922089
97,,1,172.476392984,1.577,0.0
98,,1,174.069243193,1.527,0.0
99,,1,175.619407177,1.554,0.0
100,,1,177.206927061,1.973,0.0
101,,2,179.205877066,1.907,0.703114032745
102,,1,181.129806042,1.594,0.0
103,,1,182.747389078,1.956,0.0
104,,1,184.739827156,1.583,0.0
105,,1,186.336372137,1.548,0.0
106,,2,187.90093112,1.868,0.444239139557
107,,1,189.79998517,1.868,0.0
108,,2,191.700327158,1.727,0.484559059143
109,,1,193.469547987,1.582,0.0
110,,1,195.065539122,1.984,0.0
111,,1,197.0668962,1.529,0.0
112,,1,198.611482143,1.913,0.0
113,,1,200.545180082,1.542,0.0
114,,1,202.10465312,1.614,0.0
115,,2,203.734807968,1.746,0.305860042572
116,,1,205.519141197,1.606,0.0
117,,2,207.139273167,1.91,0.429391860962
118,,1,209.074374199,1.583,0.0
119,,1,210.694518089,1.947,0.0
120,,1,212.659943104,1.493,0.0
121,,1,214.175176144,1.898,0.0
122,,2,216.090306044,1.86,0.627545833588
123,,1,217.982419968,1.576,0.0
124,,1,219.57794404,1.53,0.0
125,,2,221.132771969,1.692,0.45206284523
126,,1,222.853976011,1.845,0.0
127,,1,224.727916002,1.924,0.0
128,,2,226.686815977,1.763,0.464665174484
129,,2,228.475156069,1.626,0.548675060272
130,,1,230.127912998,1.581,0.0
131,,1,231.725749016,1.738,0.0
132,,2,233.491281986,1.677,0.494158029556
133,,1,235.189787149,1.627,0.0
134,,1,236.840208054,1.802,0.0
135,,1,238.665297985,1.664,0.0
136,,1,240.356652975,1.948,0.0
137,,1,242.331143141,1.842,0.0
138,,1,244.20461297,1.552,0.0
139,,1,245.78057909,1.86,0.0
140,,1,247.682268143,1.648,0.0
141,,1,249.351176023,1.502,0.0
142,,1,250.874495983,1.51,0.0
143,,1,252.412741184,1.499,0.0
144,,1,253.932053089,1.544,0.0
145,,1,255.516301155,1.692,0.0
146,,2,257.244704008,1.679,0.397749900818
147,,1,258.945628166,1.803,0.0
148,,1,260.76803112,1.509,0.0
149,,1,262.301460981,1.887,0.0
150,,2,264.220237017,1.559,0.616057872772
151,,1,265.811839104,1.796,0.0
152,,2,267.628803968,1.786,0.442307949066
153,,2,269.429251194,1.82,0.423568964005
154,,2,271.282303095,1.573,0.473701953888
155,,1,272.885641098,1.571,0.0
156,,1,274.494302034,1.818,0.0
157,,1,276.340921164,1.588,0.0
158,,1,277.960604191,1.935,0.0
159,,1,279.918246984,1.815,0.0
