Time,Event
4.008170930998317,1.0
6.331325154272055,1.0
8.6211127100661,1.0
11.08607527012854,2.0
13.455108661186859,1.0
15.69484621576136,1.0
17.842825434766702,2.0
20.032512988121663,1.0
22.305617210175857,2.0
24.553696431620285,2.0
27.035342325422572,1.0
29.550354886704554,1.0
31.844313275933562,1.0
33.93390082684944,1.0
36.232030049513405,1.0
38.496792604697674,1.0
40.7448718261421,1.0
43.05134271567599,1.0
45.15344276689675,1.0
47.322276153076906,1.0
49.553672040781485,1.0
52.060342935193546,2.0
54.55033049586575,1.0
56.769213883265444,1.0
59.004780604404985,1.0
61.115222322495676,2.0
63.50093904729384,2.0
65.6364057659943,1.0
67.82192248591429,1.0
69.91568087026513,1.0
72.32225176223811,2.0
74.39515597941413,1.0
76.68911436864315,1.0
78.79955608673383,1.0
80.90582697138954,1.0
83.08717285787459,1.0
85.2059562428352,1.0
87.62921046854801,2.0
89.71045635259397,1.0
92.13788141174176,1.0
94.2524939632674,2.0
96.39213151540282,1.0
98.77367740676603,1.0
101.15939413156418,1.0
103.65772335910633,2.0
105.75565257689212,1.0
107.9661942974219,1.0
110.1517110173419,1.0
112.42481523939608,1.0
114.61450279275104,1.0
116.7499695114515,1.0
119.11483206907486,2.0
121.61733213005195,1.0
123.89043635210615,1.0
125.92997390180248,1.0
128.386594794995,2.0
130.48869484621576,1.0
132.59079489743652,1.0
134.80967828483622,1.0
137.21624917680919,1.0
139.42679089733898,1.0
141.71240761969804,2.0
144.17319934632553,1.0
146.3378618990707,1.0
148.73609112417375,1.0
151.17602868362644,2.0
153.28229956828216,1.0
155.68887046025515,1.0
157.7576038439962,2.0
159.85970389521697,1.0
162.35386228932413,1.0
164.83550818312642,1.0
167.33800824410352,1.0
169.50684163028367,1.0
171.89255835508183,1.0
174.1364667430913,1.0
176.39288763140564,2.0
178.432425181102,1.0
180.50950023171296,2.0
182.7033586185029,1.0
185.08907534330106,1.0
187.38303373253007,1.0
189.67282128832412,1.0
192.02100051220762,1.0
194.32747140174152,2.0
196.61308812410059,1.0
198.9070465133296,1.0
201.2010049025586,1.0
203.5408424595722,1.0
205.93073001780533,1.0
208.09122173711555,2.0
210.39769262664944,2.0
212.59155101343936,1.0
214.7186760652699,1.0
217.15861362472256,1.0
219.44423034708163,2.0
221.96341374179858,1.0
224.26988463133247,1.0
226.58469718773628,1.0
229.09553891558332,2.0
231.42286397229202,1.0
233.86280153174468,1.0
236.28188492402253,1.0
238.55498914607674,1.0
240.81558086782604,1.0
243.1470767579697,1.0
245.3659601453694,1.0
247.7933852045172,1.0
250.2750310983195,1.0
252.7525061586868,1.0
254.90882704456206,2.0
257.06097709700236,2.0
259.5634771579795,1.0
261.9199980487329,2.0
264.3599356081856,1.0
266.5412814946706,1.0
268.95202322007856,2.0
271.3377399448767,1.0
273.5149149979268,2.0
275.675406717237,1.0
277.8067026025025,1.0
280.3300568306544,1.0
282.77416522354207,1.0
285.2724944510842,1.0
287.62484450840265,1.0
290.1190029025098,1.0
292.2669821215152,1.0
294.6985780140979,2.0
297.0300739042416,1.0
299.18222395668187,1.0
301.3010073416425,1.0
303.43647406034296,1.0
305.94731578818994,1.0
308.3121783458133,2.0
310.4309617307739,1.0
312.95014512549085,1.0
315.1314910119759,1.0
317.5088660699042,1.0
320.0238786311861,1.0
322.3053245201103,2.0
324.4282787385058,1.0
326.6346496256006,1.0
329.0412205175736,1.0
331.185028903144,1.0
333.4664747920681,1.0
335.8688748506061,1.0
338.17534574014,1.0
340.469304129369,1.0
342.763262518598,1.0
345.05305007439205,2.0
347.355350130491,1.0
349.39071684675235,1.0
351.4594502304934,1.0
353.71170028537284,1.0
356.00148784116686,1.0
358.2495670626113,1.0
360.68950462206396,1.0
363.02934217907756,1.0
365.0647088953389,1.0
367.3920339520476,1.0
369.8069465108905,1.0
372.159296568209,1.0
374.5116466255275,1.0
376.743042513232,1.0
378.99529256811144,2.0
381.02648845093785,1.0
383.1452718358984,1.0
385.39752189077785,2.0
387.7582136149662,1.0
390.0104636698456,1.0
392.375326227469,1.0
394.7109929510476,1.0
396.9924388399717,2.0
399.28222639576575,2.0
401.70548062147856,2.0
403.8909973413986,1.0
406.3476182345911,2.0
408.65825995755995,1.0
410.88965584526454,1.0
413.3754725725018,1.0
415.5484767921169,1.0
417.6797726773824,1.0
419.72765189394863,1.0
422.2259811214908,1.0
424.41566867484573,1.0
426.7596770652943,2.0
429.15373545696235,1.0
431.3726188443621,1.0
433.3954730603186,1.0
435.44752311031976,1.0
437.6246981633698,1.0
439.8811190516842,1.0
441.92899826825044,2.0
444.10200248786555,1.0
446.354252542745,1.0
448.65655259884386,1.0
450.725285982585,2.0
452.98587770433426,1.0
455.2548110929535,1.0
457.50706114783287,1.0
459.80519037049686,2.0
461.90311958828266,1.0
464.2137613112515,1.0
466.7037488719237,1.0
468.8475572574941,1.0
471.3208614844265,1.0
473.5272323715213,2.0
475.9755115978439,1.0
478.4154491572965,1.0
480.880411717359,2.0
483.23276177467744,1.0
485.50586599673164,1.0
487.5745993804727,1.0
490.0145369399254,1.0
492.1458328251909,1.0
494.6566745530379,1.0
496.8964121076124,2.0
499.3572038342399,1.0
501.67618722407866,1.0
503.9659747798727,1.0
506.28495816971144,1.0
508.31615405253785,1.0
510.5684041074173,1.0
512.8790458303861,1.0
515.0228542159565,1.0
517.4711334422791,1.0
519.9027293348619,1.0
522.0381960535623,1.0
524.0777336032586,1.0
526.4676211614917,1.0
528.5738920461475,1.0
530.8469962682017,1.0
533.1201004902558,2.0
535.3806922120052,1.0
537.7288714358887,1.0
539.9352423229835,2.0
542.3001048806069,1.0
544.464767433352,1.0
546.9714383277641,1.0
549.2403717163834,1.0
551.3091051001244,1.0
553.5029634869144,1.0
555.5508427034806,2.0
558.0575135978927,1.0
560.5558428254348,2.0
562.6704553769604,1.0
564.8601429303154,1.0
567.1707846532843,2.0
569.3646430400742,1.0
571.8754847679212,1.0
588.7047976779921,1.0
591.2031269055343,1.0
593.3969852923242,1.0
595.4573770091954,2.0
597.9598770701724,1.0
600.0703187882632,1.0
602.493573013976,2.0
604.7917022366399,1.0
607.2691772970072,2.0
609.3295690138784,2.0
611.7861899070709,1.0
614.1093441303447,1.0
616.6201858581917,1.0
619.1268567526038,1.0
621.608502646406,1.0
623.8107027000659,1.0
625.9586819190712,1.0
628.2901778092149,1.0
630.5591111978341,1.0
632.9948779238518,1.0
635.38059464865,1.0
637.7955072074928,2.0
640.2062489329008,1.0
642.3917656528208,1.0
644.7149198760945,1.0
646.7627990926608,2.0
649.2361033195932,2.0
651.2589575355497,1.0
653.3318617527257,1.0
655.705065977219,1.0
658.1950535378912,2.0
660.3221785897217,1.0
662.7579453157394,1.0
665.093612039318,1.0
667.4751579306812,1.0
669.9901704919632,1.0
672.5051830532452,1.0
674.9909997804825,2.0
677.0847581648333,1.0
679.5997707261153,1.0
682.1022707870924,2.0
684.2419083392278,1.0
686.5275250615869,1.0
688.9507792872997,1.0
691.328154345228,2.0
693.4761335642332,1.0
695.590746115759,1.0
698.093246176736,1.0
