timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1033.200,-975.586,-347.656,-696.777,-969.727,-436.035,0
1033.204,-1000.000,127.441,-512.695,-1000.000,-386.719,0
1033.208,28.809,-447.266,-739.746,-106.445,-492.676,0
1033.212,923.340,-1000.000,-1000.000,772.461,-814.453,0
1033.216,-547.852,-566.895,-760.742,-616.211,-445.801,0
1033.220,-1000.000,159.180,-396.484,-1000.000,107.910,0
1033.224,-163.086,-296.387,-661.621,-486.328,-415.527,0
1033.228,-839.844,-1000.000,-1000.000,962.891,-982.422,0
1033.232,72.266,-753.418,-877.441,53.223,-825.195,0
1033.236,-1000.000,-0.977,-533.203,-1000.000,-369.629,0
1033.239,-545.410,-101.074,-568.359,-909.668,-389.160,0
1033.243,-944.824,-888.184,-935.059,574.707,-849.121,0
1033.247,294.434,-906.738,-938.965,350.098,-884.277,0
1033.251,-1000.000,-194.336,-629.883,-1000.000,-535.645,0
1033.255,-1000.000,75.195,-468.750,-1000.000,-244.629,0
1033.259,430.176,-602.539,-773.926,126.953,-528.809,0
1033.263,600.586,-1000.000,-988.770,660.156,-942.383,0
1033.267,-927.734,-429.199,-716.309,-824.219,-661.621,0
1033.271,-1000.000,159.180,-450.195,-1000.000,-367.676,0
1033.275,-111.816,-385.254,-642.090,-134.277,-260.254,0
1033.279,-974.609,-1000.000,-990.723,-928.223,-758.789,0
1033.282,-334.473,-638.672,-824.219,-174.316,-830.078,0
1033.286,-1000.000,114.746,-501.465,-1000.000,-488.281,0
1033.290,-195.312,-224.609,-619.141,-418.945,-505.859,0
1033.294,-829.102,-1000.000,-960.938,-906.250,-795.898,0
1033.298,179.199,-777.344,-875.000,268.066,-857.422,0
1033.302,-1000.000,22.949,-477.539,-1000.000,-302.734,0
1033.306,-684.082,16.602,-475.098,-887.695,-310.547,0
1033.310,946.289,-802.734,-881.836,681.152,-737.793,0
1033.314,304.199,-950.195,-888.184,578.125,-549.316,0
1033.318,-1000.000,-213.379,-552.246,-953.613,-372.070,0
1033.322,-1000.000,166.992,-424.316,-1000.000,-433.105,0
1033.325,242.188,-507.812,-741.699,137.207,-724.609,1
1033.329,617.188,-1000.000,-950.195,-990.234,-865.234,0
1033.333,-899.902,-456.543,-592.773,-425.781,-428.711,0
1033.337,-1000.000,210.938,-323.242,-1000.000,-306.152,0
1033.341,-113.281,-333.496,-574.219,-157.227,-585.938,0
1033.345,995.117,-1000.000,-970.703,-797.363,-957.031,0
1033.349,-350.098,-670.898,-696.289,250.488,-548.340,0
1033.353,-1000.000,110.840,-334.961,-1000.000,-129.883,0
1033.357,-394.531,-185.547,-526.367,-326.660,-416.504,0
1033.361,-915.039,-996.094,-931.641,-814.941,-878.418,0
1033.364,169.922,-836.426,-883.789,399.414,-860.840,0
1033.368,-1000.000,-65.430,-462.891,-1000.000,-57.129,0
1033.372,-845.215,1.465,-461.426,-785.645,-69.824,0
1033.376,733.887,-772.949,-870.117,802.246,-810.547,0
1033.380,348.145,-990.723,-914.551,817.383,-951.660,0
1033.384,-1000.000,-253.418,-492.676,-713.867,-511.719,0
1033.388,-1000.000,250.977,-237.793,-1000.000,-243.164,0
1033.392,152.832,-426.758,-605.957,90.820,-602.539,0
1033.396,782.227,-1000.000,-953.613,-798.340,-876.465,0
1033.400,-755.371,-550.781,-637.207,-19.531,-555.176,0
1033.404,-1000.000,140.137,-331.055,-1000.000,-118.652,0
1033.407,-148.926,-333.984,-529.297,-171.387,-127.930,0
1033.411,-875.977,-1000.000,-966.309,-779.785,-821.777,0
1033.415,-88.867,-740.234,-834.961,257.812,-860.840,0
1033.419,-1000.000,-23.438,-511.719,-1000.000,-466.797,0
1033.423,-470.703,-250.977,-629.395,-358.887,-437.500,0
1033.427,-921.387,-974.609,-944.336,-839.355,-802.246,0
1033.431,294.922,-909.668,-930.176,546.387,-906.738,0
1033.435,-1000.000,-267.090,-679.688,-973.633,-530.762,0
1033.439,-974.609,-62.012,-601.074,-912.598,-429.199,0
1033.443,582.520,-719.238,-848.145,667.480,-648.438,0
1033.447,511.230,-1000.000,-943.359,882.812,-870.605,0
1033.450,-982.910,-359.375,-594.238,-625.977,-522.461,0
1033.454,-1000.000,190.918,-368.652,-1000.000,-325.195,0
1033.458,29.297,-418.457,-697.754,-85.449,-757.812,0
1033.462,992.676,-1000.000,-968.750,-849.121,-796.875,0
1033.466,-456.543,-583.496,-704.102,-53.711,-524.414,0
1033.470,-1000.000,177.734,-451.660,-1000.000,-502.441,0
1033.474,-168.457,-251.953,-654.785,-258.789,-681.152,0
1033.478,-829.590,-1000.000,-987.305,-822.266,-938.965,0
1033.482,126.953,-759.766,-870.117,271.973,-742.676,0
1033.486,-1000.000,-8.789,-603.027,-1000.000,-490.723,0
1033.489,-532.715,-140.137,-665.039,-596.680,-331.055,0
1033.493,-929.199,-913.086,-957.520,-979.004,-741.699,0
1033.497,291.504,-924.316,-939.453,532.227,-795.410,0
